Training record,Characteristic mapping,Characteristic
Contoso coffee training data A10001,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10001,Brew valve,Brew valve
Contoso coffee training data A10002,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10002,Coffee filter,Coffee filter
Contoso coffee training data A10003,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10003,Brew valve,Brew valve
Contoso coffee training data A10004,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10004,Coffee filter,Coffee filter
Contoso coffee training data A10005,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10005,Brew valve,Brew valve
Contoso coffee training data A10006,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10006,Coffee filter,Coffee filter
Contoso coffee training data A10007,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10007,Brew valve,Brew valve
Contoso coffee training data A10008,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10008,Coffee filter,Coffee filter
Contoso coffee training data A10009,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10009,Brew valve,Brew valve
Contoso coffee training data A10010,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10010,Coffee filter,Coffee filter
Contoso coffee training data A10011,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10011,Brew valve,Brew valve
Contoso coffee training data A10012,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10012,Coffee filter,Coffee filter
Contoso coffee training data A10013,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10013,Brew valve,Brew valve
Contoso coffee training data A10014,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10014,Coffee filter,Coffee filter
Contoso coffee training data A10015,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10015,Brew valve,Brew valve
Contoso coffee training data A10016,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10016,Coffee filter,Coffee filter
Contoso coffee training data A10017,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10017,Brew valve,Brew valve
Contoso coffee training data A10018,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10018,Coffee filter,Coffee filter
Contoso coffee training data A10019,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10019,Brew valve,Brew valve
Contoso coffee training data A10020,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10020,Coffee filter,Coffee filter
Contoso coffee training data A10021,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10021,Brew valve,Brew valve
Contoso coffee training data A10022,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10022,Coffee filter,Coffee filter
Contoso coffee training data A10023,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10023,Brew valve,Brew valve
Contoso coffee training data A10024,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10024,Coffee filter,Coffee filter
Contoso coffee training data A10025,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10025,Brew valve,Brew valve
Contoso coffee training data A10026,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10026,Coffee filter,Coffee filter
Contoso coffee training data A10027,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10027,Brew valve,Brew valve
Contoso coffee training data A10028,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10028,Coffee filter,Coffee filter
Contoso coffee training data A10029,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10029,Brew valve,Brew valve
Contoso coffee training data A10030,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10030,Coffee filter,Coffee filter
Contoso coffee training data A10031,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10031,Brew valve,Brew valve
Contoso coffee training data A10032,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10032,Coffee filter,Coffee filter
Contoso coffee training data A10033,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10033,Brew valve,Brew valve
Contoso coffee training data A10034,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10034,Coffee filter,Coffee filter
Contoso coffee training data A10035,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10035,Brew valve,Brew valve
Contoso coffee training data A10036,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10036,Coffee filter,Coffee filter
Contoso coffee training data A10037,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10037,Brew valve,Brew valve
Contoso coffee training data A10038,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10038,Coffee filter,Coffee filter
Contoso coffee training data A10039,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10039,Brew valve,Brew valve
Contoso coffee training data A10040,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10040,Coffee filter,Coffee filter
Contoso coffee training data A10041,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10041,Brew valve,Brew valve
Contoso coffee training data A10042,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10042,Coffee filter,Coffee filter
Contoso coffee training data A10043,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10043,Brew valve,Brew valve
Contoso coffee training data A10044,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10044,Coffee filter,Coffee filter
Contoso coffee training data A10045,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10045,Brew valve,Brew valve
Contoso coffee training data A10046,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10046,Coffee filter,Coffee filter
Contoso coffee training data A10047,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10047,Brew valve,Brew valve
Contoso coffee training data A10048,Smart brew 2500,Smart brew 2500
Contoso coffee training data A10048,Coffee filter,Coffee filter
Contoso coffee training data A10049,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10049,Brew valve,Brew valve
Contoso coffee training data A10050,Smart brew 1000,Smart brew 1000
Contoso coffee training data A10050,Coffee filter,Coffee filter
